ENTIDAD,MUN,LOC,AGEB,label
1,1,1,0017,1
1,1,1,006A,3
1,1,1,0106,3
1,1,1,0163,3
1,1,1,0182,3
1,1,1,0229,3
1,1,1,0233,3
1,1,1,0286,3
1,1,1,0290,3
1,1,1,0303,3
1,1,1,0322,3
1,1,1,0337,2
1,1,1,0341,2
1,1,1,0356,3
1,1,1,0360,2
1,1,1,0375,2
1,1,1,038A,2
1,1,1,0407,3
1,1,1,0411,2
1,1,1,0426,2
1,1,1,0430,2
1,1,1,0445,2
1,1,1,045A,2
1,1,1,0464,3
1,1,1,0483,2
1,1,1,0498,2
1,1,1,0500,2
1,1,1,0515,3
1,1,1,052A,3
1,1,1,0534,2
1,1,1,0549,3
1,1,1,0553,2
1,1,1,0568,2
1,1,1,0572,3
1,1,1,0587,2
1,1,1,0591,2
1,1,1,0604,2
1,1,1,0619,3
1,1,1,0623,3
1,1,1,0638,3
1,1,1,0642,3
1,1,1,0657,3
1,1,1,0676,3
1,1,1,0680,3
1,1,1,0695,3
1,1,1,0708,3
1,1,1,0712,3
1,1,1,0727,2
1,1,1,0731,2
1,1,1,0746,3
1,1,1,077A,2
1,1,1,0784,2
1,1,1,0799,2
1,1,1,0801,3
1,1,1,0816,3
1,1,1,0820,3
1,1,1,0835,3
1,1,1,084A,3
1,1,1,0854,2
1,1,1,0869,3
1,1,1,0873,3
1,1,1,0888,3
1,1,1,0892,2
1,1,1,0905,2
1,1,1,091A,3
1,1,1,0939,3
1,1,1,0962,2
1,1,1,0977,3
1,1,1,0996,3
1,1,1,1000,3
1,1,1,1034,1
1,1,1,1091,2
1,1,1,1161,2
1,1,1,1195,3
1,1,1,1208,3
1,1,1,1227,3
1,1,1,1265,2
1,1,1,1299,3
1,1,1,1316,3
1,1,1,1320,2
1,1,1,134A,2
1,1,1,1354,3
1,1,1,1373,2
1,1,1,1392,2
1,1,1,1405,2
1,1,1,1439,2
1,1,1,1458,2
1,1,1,1462,2
1,1,1,1477,3
1,1,1,1509,3
1,1,1,1528,2
1,1,1,1547,2
1,1,1,1551,3
1,1,1,159A,3
1,1,1,1636,3
1,1,1,1674,3
1,1,1,1689,2
1,1,1,1693,3
1,1,1,1710,2
1,1,1,1744,2
1,1,1,1956,3
1,1,1,1960,3
1,1,1,1975,3
1,1,1,198A,3
1,1,1,1994,3
1,1,1,2009,3
1,1,1,2013,3
1,1,1,2028,3
1,1,1,2032,2
1,1,1,2047,2
1,1,1,2051,2
1,1,1,2066,2
1,1,1,2070,3
1,1,1,2085,3
1,1,1,209A,3
1,1,1,2102,3
1,1,1,2117,3
1,1,1,2121,2
1,1,1,2136,3
1,1,1,2140,2
1,1,1,2155,2
1,1,1,216A,2
1,1,1,2174,2
1,1,1,2189,2
1,1,1,2193,2
1,1,1,2206,2
1,1,1,2210,2
1,1,1,2225,2
1,1,1,2259,3
1,1,1,2263,3
1,1,1,2278,3
1,1,1,2282,2
1,1,1,2297,3
1,1,1,230A,3
1,1,1,2314,3
1,1,1,2329,2
1,1,1,2333,3
1,1,1,2348,2
1,1,1,2352,2
1,1,1,2367,2
1,1,1,2371,3
1,1,1,2386,3
1,1,1,2390,3
1,1,1,2403,3
1,1,1,2422,3
1,1,1,2456,3
1,1,1,2460,3
1,1,1,2475,3
1,1,1,248A,3
1,1,1,2494,2
1,1,1,2507,2
1,1,1,2511,3
1,1,1,2526,3
1,1,1,255A,2
1,1,1,2564,3
1,1,1,2579,2
1,1,1,2583,2
1,1,1,2598,3
1,1,1,2600,2
1,1,1,262A,2
1,1,1,2634,2
1,1,1,2649,3
1,1,1,2668,2
1,1,1,2672,3
1,1,1,2687,3
1,1,1,2691,3
1,1,1,2704,2
1,1,1,2719,2
1,1,1,2723,2
1,1,1,2761,3
1,1,1,2780,2
1,1,1,2795,2
1,1,1,2808,2
1,1,1,2812,2
1,1,1,2831,2
1,1,1,2846,2
1,1,1,2850,2
1,1,1,2865,2
1,1,1,287A,3
1,1,1,2884,3
1,1,1,2920,3
1,1,1,2935,1
1,1,1,294A,3
1,1,1,2954,2
1,1,1,2969,2
1,1,1,2973,2
1,1,1,2988,3
1,1,1,2992,2
1,1,1,3011,2
1,1,1,3045,2
1,1,1,305A,2
1,1,1,3064,2
1,1,1,3079,3
1,1,1,3083,3
1,1,1,3098,3
1,1,1,3115,2
1,1,1,3149,1
1,1,1,3153,3
1,1,1,3168,2
1,1,1,3172,3
1,1,1,3187,2
1,1,1,3191,2
1,1,1,3204,2
1,1,1,3219,3
1,1,1,3223,2
1,1,1,3238,1
1,1,1,3242,1
1,1,1,3257,2
1,1,1,3261,3
1,1,1,3276,2
1,1,1,3280,3
1,1,1,3295,3
1,1,1,3308,2
1,1,1,3312,2
1,1,1,3327,2
1,1,1,3331,2
1,1,1,3346,3
1,1,1,3350,3
1,1,1,3365,3
1,1,1,337A,2
1,1,1,3399,2
1,1,1,3401,3
1,1,1,3454,3
1,1,1,3492,2
1,1,1,3505,2
1,1,1,351A,3
1,1,1,3524,3
1,1,1,3539,2
1,1,1,3562,1
1,1,1,3577,3
1,1,1,3581,3
1,1,1,3596,3
1,1,1,3609,3
1,1,1,3613,2
1,1,1,3670,3
1,1,1,3685,2
1,1,1,369A,2
1,1,1,3702,2
1,1,1,3717,2
1,1,1,3721,2
1,1,1,3736,2
1,1,1,3740,3
1,1,1,3755,2
1,1,1,376A,2
1,1,1,3774,2
1,1,1,3789,2
1,1,1,3793,2
1,1,1,3806,2
1,1,1,3810,2
1,1,1,3825,3
1,1,1,383A,2
1,1,1,3844,3
1,1,1,3859,3
1,1,1,3863,2
1,1,1,3878,3
1,1,1,3882,2
1,1,1,3897,2
1,1,1,390A,3
1,1,1,3914,3
1,1,1,3971,2
1,1,1,3986,3
1,1,1,3990,2
1,1,1,4005,3
1,1,1,401A,3
1,1,1,4024,3
1,1,1,4039,3
1,1,1,4043,3
1,1,1,4058,3
1,1,1,4062,2
1,1,1,4077,2
1,1,1,4081,3
1,1,1,4096,3
1,1,1,4109,2
1,1,1,4113,2
1,1,1,4128,2
1,1,1,4132,2
1,1,1,4147,3
1,1,1,4151,3
1,1,1,4202,2
1,1,1,4217,1
1,1,1,4255,3
1,1,1,426A,3
1,1,1,4306,2
1,1,1,4325,1
1,1,1,4344,3
1,1,1,4359,3
1,1,1,4363,2
1,1,1,4378,2
1,1,1,440A,3
1,1,1,4414,3
1,1,1,4429,3
1,1,1,4433,2
1,1,1,4448,2
1,1,1,4452,2
1,1,1,4467,1
1,1,1,4471,3
1,1,1,4486,2
1,1,1,4490,3
1,1,1,4503,3
1,1,1,4518,3
1,1,1,4522,3
1,1,1,4537,3
1,1,1,4556,3
1,1,1,4560,3
1,1,237,458A,2
1,1,237,4594,2
1,1,239,4185,2
1,1,239,419A,2
1,1,293,3666,1
1,1,293,3929,1
1,1,357,4166,1
1,1,357,4170,1
1,1,357,4382,1
1,1,367,4607,2
1,1,367,4611,2
1,1,479,2742,2
1,1,479,2757,2
1,1,479,2899,2
1,1,479,3933,2
1,1,1025,3948,2
1,1,1025,3952,3
1,1,1025,3967,3
1,1,1025,4541,3
1,1,2050,1903,1
1,1,2371,4575,2
1,2,1,0122,2
1,2,1,0334,2
1,2,1,0349,2
1,2,11,0156,2
1,2,11,0160,2
1,2,11,025A,1
1,2,11,0353,2
1,2,25,0391,2
1,2,25,0404,2
1,2,59,0086,2
1,2,59,0211,1
1,2,59,0283,2
1,2,59,0298,2
1,2,59,0368,2
1,2,59,0372,2
1,2,59,0387,2
1,3,1,0153,2
1,3,1,0168,2
1,3,1,0187,2
1,3,1,0191,2
1,3,1,0204,2
1,3,1,0219,2
1,3,1,0223,2
1,3,1,0280,2
1,3,1,0295,2
1,3,1,0308,2
1,3,55,0079,2
1,3,55,0172,2
1,3,55,0238,2
1,3,55,0242,2
1,3,55,0257,2
1,3,55,0261,2
1,3,55,0276,2
1,4,1,0080,2
1,4,1,0108,2
1,4,1,0112,2
1,4,1,0127,2
1,4,1,0131,2
1,4,26,0146,2
1,4,26,0150,2
1,5,1,0020,2
1,5,1,0124,2
1,5,1,0158,2
1,5,1,0177,3
1,5,1,0228,3
1,5,1,0247,2
1,5,1,0251,2
1,5,1,0355,3
1,5,1,0374,2
1,5,1,0482,2
1,5,1,0497,1
1,5,1,050A,2
1,5,1,0514,2
1,5,1,0533,2
1,5,1,0548,2
1,5,1,0552,2
1,5,1,0571,1
1,5,1,0586,3
1,5,1,0622,3
1,5,1,0637,1
1,5,1,0641,1
1,5,1,0656,2
1,5,1,0660,3
1,5,1,0675,3
1,5,1,068A,3
1,5,1,0694,3
1,5,23,043A,3
1,5,41,0302,2
1,5,41,0317,2
1,5,41,0389,2
1,5,41,0393,2
1,5,41,0406,2
1,5,41,0463,3
1,5,41,0478,2
1,5,245,0590,3
1,5,245,0603,3
1,5,427,0444,3
1,5,427,0459,3
1,5,468,0618,3
1,5,482,0711,2
1,6,1,0051,2
1,6,1,0070,2
1,6,1,0085,3
1,6,1,009A,2
1,6,1,0102,2
1,6,1,0136,2
1,6,1,0140,2
1,6,1,0174,2
1,6,1,023A,2
1,6,1,0244,2
1,6,1,0259,2
1,6,1,0263,3
1,6,1,0278,2
1,6,1,0282,3
1,6,7,0189,2
1,7,1,0059,2
1,7,1,0063,2
1,7,1,0114,1
1,7,1,0129,2
1,7,1,0133,2
1,7,1,0222,2
1,7,1,0237,2
1,7,1,0241,2
1,7,1,0260,2
1,7,18,0190,1
1,7,30,0148,2
1,7,30,0167,2
1,7,30,0256,2
1,7,40,028A,2
1,8,1,0164,2
1,8,1,0179,2
1,8,1,0183,2
1,8,1,0198,2
1,8,1,0200,2
1,8,1,0215,2
1,9,1,0087,2
1,9,1,0104,2
1,9,1,0138,2
1,9,1,0161,1
1,9,1,0208,2
1,9,25,0176,2
1,9,25,0180,2
1,10,1,0143,1
1,10,1,0158,2
1,10,1,0162,1
1,11,1,0013,2
1,11,1,0028,2
1,11,1,0032,2
1,11,1,0051,2
1,11,1,0066,2
1,11,1,0070,2
1,11,1,0117,2
1,11,1,0121,2
1,11,1,0140,2
1,11,11,0193,2
1,11,11,0206,2
1,11,19,0155,2
1,11,52,016A,2
1,11,52,0174,2
1,11,52,0189,2
1,11,128,0136,2
1,11,138,0210,2
1,11,138,0225,2
1,11,138,023A,1
2,1,1,0030,3
2,1,1,0083,2
2,1,1,0098,2
2,1,1,0100,2
2,1,1,0115,2
2,1,1,012A,2
2,1,1,0134,2
2,1,1,0168,2
2,1,1,0172,2
2,1,1,0187,2
2,1,1,0191,2
2,1,1,0204,2
2,1,1,0435,3
2,1,1,044A,3
2,1,1,0454,3
2,1,1,0488,2
2,1,1,0492,3
2,1,1,0505,3
2,1,1,0524,2
2,1,1,0543,2
2,1,1,0558,3
2,1,1,0562,3
2,1,1,0577,3
2,1,1,0581,3
2,1,1,0613,2
2,1,1,0628,3
2,1,1,0647,3
2,1,1,0651,3
2,1,1,0666,3
2,1,1,0670,3
2,1,1,0685,3
2,1,1,069A,3
2,1,1,0717,3
2,1,1,0721,2
2,1,1,0736,3
2,1,1,0740,3
2,1,1,0755,3
2,1,1,076A,3
2,1,1,0789,3
2,1,1,0793,3
2,1,1,0825,3
2,1,1,083A,3
2,1,1,0844,3
2,1,1,0859,3
2,1,1,0863,3
2,1,1,0882,3
2,1,1,0929,3
2,1,1,1005,3
2,1,1,101A,3
2,1,1,1024,3
2,1,1,1039,3
2,1,1,1043,2
2,1,1,1058,2
2,1,1,1062,3
2,1,1,1077,2
2,1,1,1081,2
2,1,1,1221,1
2,1,1,1236,2
2,1,1,1240,2
2,1,1,1255,3
2,1,1,1293,3
2,1,1,1306,3
2,1,1,1310,3
2,1,1,1397,1
2,1,1,140A,3
2,1,1,1414,2
2,1,1,1452,3
2,1,1,1467,3
2,1,1,1486,2
2,1,1,1503,3
2,1,1,1522,2
2,1,1,1537,3
2,1,1,1556,2
2,1,1,1560,3
2,1,1,1575,1
2,1,1,158A,1
2,1,1,1594,2
2,1,1,1607,2
2,1,1,1908,2
2,1,1,2060,3
2,1,1,2075,3
2,1,1,208A,3
2,1,1,2126,2
2,1,1,2145,2
2,1,1,215A,2
2,1,1,2164,2
2,1,1,2179,2
2,1,1,2431,1
2,1,1,5968,3
2,1,1,5987,3
2,1,1,5991,3
2,1,1,6006,2
2,1,1,6010,2
2,1,1,6025,3
2,1,1,6148,3
2,1,1,7377,2
2,1,1,7432,2
2,1,1,7447,2
2,1,1,7451,3
2,1,1,749A,2
2,1,1,7502,3
2,1,1,7625,3
2,1,1,7644,2
2,1,1,7659,1
2,1,1,7663,3
2,1,1,7678,2
2,1,1,7682,2
2,1,1,7697,2
2,1,1,770A,3
2,1,1,7714,2
2,1,1,7729,3
2,1,1,7733,3
2,1,1,7748,3
2,1,1,7752,3
2,1,1,7767,3
2,1,1,7771,3
2,1,1,7786,3
2,1,1,7790,3
2,1,1,7818,2
2,1,1,7822,2
2,1,1,7837,3
2,1,1,7841,3
2,1,1,7856,3
2,1,1,7860,3
2,1,1,7875,3
2,1,1,788A,3
2,1,1,7894,3
2,1,1,7907,3
2,1,1,7911,3
2,1,1,7926,3
2,1,1,7930,3
2,1,1,7945,3
2,1,1,795A,3
2,1,1,7964,3
2,1,1,7979,3
2,1,1,7998,3
2,1,1,8002,3
2,1,1,8017,3
2,1,1,8021,3
2,1,1,8036,3
2,1,1,8040,3
2,1,1,8055,3
2,1,1,806A,3
2,1,1,8074,3
2,1,1,8089,2
2,1,1,8093,2
2,1,1,8106,2
2,1,1,8110,2
2,1,1,838A,3
2,1,1,8394,2
2,1,1,8407,3
2,1,1,8426,2
2,1,1,8430,2
2,1,1,8445,2
2,1,1,845A,3
2,1,1,8464,2
2,1,1,8479,3
2,1,1,8568,3
2,1,1,8572,3
2,1,1,8587,2
2,1,1,8680,3
2,1,1,8695,2
2,1,1,8708,3
2,1,1,8727,2
2,1,1,8731,3
2,1,1,8746,3
2,1,1,9566,2
2,1,1,9585,3
2,1,1,959A,2
2,1,1,9602,3
2,1,1,9617,3
2,1,1,9621,2
2,1,1,9636,3
2,1,1,9640,3
2,1,1,9655,3
2,1,1,966A,3
2,1,1,9674,3
2,1,1,9689,3
2,1,1,9693,3
2,1,1,9706,3
2,1,1,9710,2
2,1,1,9725,2
2,1,1,973A,3
2,1,1,9759,2
2,1,1,9763,3
2,1,1,9778,3
2,1,1,980A,3
2,1,1,9814,3
2,1,1,9829,2
2,1,1,9833,2
2,1,1,9848,3
2,1,1,9852,3
2,1,1,9867,3
2,1,1,9871,2
2,1,1,9886,3
2,1,1,9890,2
2,1,1,9903,3
2,1,114,6186,2
2,1,114,7343,2
2,1,114,8888,1
2,1,139,1096,1
2,1,139,1109,2
2,1,139,1113,2
2,1,139,1128,1
2,1,139,1325,2
2,1,139,133A,1
2,1,139,1344,2
2,1,139,1359,2
2,1,139,1363,2
2,1,139,1378,2
2,1,139,1382,1
2,1,139,165A,2
2,1,139,1679,1
2,1,139,1683,2
2,1,139,2253,2
2,1,139,2268,2
2,1,139,603A,2
2,1,139,6044,2
2,1,139,6059,2
2,1,139,6063,2
2,1,139,7517,2
2,1,139,7521,1
2,1,139,7536,1
2,1,139,7540,2
2,1,139,7555,2
2,1,139,813A,2
2,1,139,8144,2
2,1,139,8159,2
2,1,139,8163,2
2,1,139,8765,2
2,1,139,9918,2
2,1,186,1838,2
2,1,186,9956,1
2,1,186,9960,2
2,1,186,9975,1
2,1,190,1946,2
2,1,190,1950,2
2,1,190,1965,2
2,1,190,197A,1
2,1,190,2249,1
2,1,243,1819,1
2,1,243,2287,1
2,1,243,8178,2
2,1,243,8182,2
2,1,243,8197,2
2,1,243,820A,2
2,1,247,0308,3
2,1,247,1147,3
2,1,247,2094,3
2,1,247,2200,3
2,1,247,2215,1
2,1,247,7324,2
2,1,247,7409,3
2,1,247,7466,2
2,1,247,7470,3
2,1,247,7485,3
2,1,935,8591,2
2,1,935,8604,2
2,1,935,8619,2
2,1,935,8623,1
2,1,2183,1132,1
2,1,2183,1289,1
2,1,2183,1698,1
2,1,2183,8500,2
2,1,2183,8784,2
2,1,2183,9782,1
2,2,1,0019,2
2,2,1,0023,2
2,2,1,0038,2
2,2,1,0042,2
2,2,1,0057,2
2,2,1,0095,3
2,2,1,0108,3
2,2,1,0165,2
2,2,1,017A,2
2,2,1,0184,2
2,2,1,0220,3
2,2,1,0269,3
2,2,1,0273,3
2,2,1,0288,3
2,2,1,0292,3
2,2,1,0305,2
2,2,1,031A,3
2,2,1,0324,3
2,2,1,0339,3
2,2,1,0362,3
2,2,1,0377,3
2,2,1,0381,2
2,2,1,0409,3
2,2,1,0413,3
2,2,1,0432,3
2,2,1,0451,3
2,2,1,0485,2
2,2,1,0517,2
2,2,1,0521,3
2,2,1,0540,3
2,2,1,0555,3
2,2,1,0574,3
2,2,1,0589,2
2,2,1,0606,2
2,2,1,0610,3
2,2,1,063A,3
2,2,1,0659,3
2,2,1,0663,2
2,2,1,0678,3
2,2,1,0697,2
2,2,1,070A,2
2,2,1,0714,2
2,2,1,0729,2
2,2,1,0733,2
2,2,1,0748,2
2,2,1,0752,2
2,2,1,0767,2
2,2,1,0790,2
2,2,1,1708,2
2,2,1,2246,3
2,2,1,2284,3
2,2,1,2299,3
2,2,1,2320,3
2,2,1,2388,3
2,2,1,2392,2
2,2,1,241A,3
2,2,1,2424,3
2,2,1,2439,3
2,2,1,2443,3
2,2,1,2462,2
2,2,1,2496,2
2,2,1,2513,3
2,2,1,2532,2
2,2,1,2725,2
2,2,1,273A,2
2,2,1,2744,2
2,2,1,2759,3
2,2,1,2763,3
2,2,1,2778,3
2,2,1,2782,3
2,2,1,2797,3
2,2,1,280A,3
2,2,1,2814,3
2,2,1,2829,3
2,2,1,2833,3
2,2,1,2848,3
2,2,1,2852,3
2,2,1,2867,3
2,2,1,2871,3
2,2,1,2886,3
2,2,1,2918,3
2,2,1,298A,3
2,2,1,2994,2
2,2,1,3009,2
2,2,1,3070,2
2,2,1,3085,2
2,2,1,309A,2
2,2,1,3140,2
2,2,1,3155,2
2,2,1,316A,2
2,2,1,3174,2
2,2,1,3189,2
2,2,1,3206,3
2,2,1,3210,2
2,2,1,3225,3
2,2,1,3329,2
2,2,1,3812,2
2,2,1,3827,2
2,2,1,3846,2
2,2,1,3850,2
2,2,1,387A,2
2,2,1,3884,3
2,2,1,3935,2
2,2,1,3969,3
2,2,1,4083,3
2,2,1,4149,2
2,2,1,4168,2
2,2,1,4172,2
2,2,1,4191,2
